NoOfExternalRef,LineOfCode,NoOfSelfRef,NoOfImage,NoOfJS,HasSocialNet,NoOfCSS,HasCopyrightInfo,IsHTTPS,LargestLineLength,HasDescription,DegitRatioInURL,NoOfDegitsInURL,NoOfOtherSpecialCharsInURL,URLLength,label,TLD
20,884.0,50,20,24,0,15,1,1.0,684.0,0,0.0,0.0,2.0,20.0,1,ir
90,1206.0,77,19,22,1,10,1,1.0,884.0,1,0.0,0.0,1.0,28.0,1,com
29,2623.0,227,106,27,1,15,1,1.0,423.0,1,0.0,0.0,2.0,26.0,1,jp
37,2696.0,283,35,15,1,8,1,1.0,1922.0,0,0.0,0.0,1.0,20.0,1,com
84,553.0,75,22,20,1,17,0,1.0,15712.0,0,0.0,0.0,2.0,33.0,1,uk
15,3990.0,77,23,12,1,2,1,1.0,15928.0,1,0.0,0.0,1.0,27.0,1,com
90,1610.0,92,23,16,1,15,1,1.0,8512.0,0,0.0,0.0,1.0,19.0,1,org
14,2522.0,36,11,9,1,74,1,1.0,404.0,1,0.0,0.0,1.0,31.0,1,com
20,3410.0,67,58,24,1,2,1,1.0,23488.0,1,0.0,0.0,2.0,27.0,1,com
19,1235.0,141,15,18,1,6,0,1.0,344.0,0,0.0,0.0,1.0,17.0,1,hr
24,2656.0,125,39,24,1,2,1,1.0,2679.0,1,0.0,0.0,1.0,29.0,1,com
9,1272.0,0,71,18,1,8,1,1.0,467.0,1,0.0,0.0,1.0,26.0,1,com
63,500.0,58,19,17,1,10,1,1.0,9381.0,1,0.0,0.0,2.0,33.0,1,au
107,946.0,93,22,11,1,6,1,1.0,3207.0,1,0.0,0.0,1.0,26.0,1,com
41,410.0,42,15,6,1,3,1,1.0,728.0,1,0.0,0.0,1.0,26.0,1,com
15,134.0,2,8,2,1,0,0,1.0,144.0,0,0.0,0.0,1.0,22.0,1,com
25,210.0,0,2,8,1,1,1,1.0,679.0,1,0.0,0.0,1.0,20.0,1,com
8,284.0,2,8,3,0,1,1,1.0,144.0,0,0.0,0.0,1.0,22.0,1,io
4,475.0,45,13,13,1,6,1,1.0,276.0,1,0.13,3.0,1.0,23.0,1,nl
59,1379.0,46,26,35,1,7,0,1.0,9381.0,1,0.0,0.0,2.0,26.0,1,com
13,254.0,4,12,1,1,2,1,1.0,3108.0,1,0.0,0.0,1.0,22.0,1,de
26,1335.0,25,25,6,1,2,1,1.0,4854.0,1,0.0,0.0,1.0,22.0,1,org
88,1096.0,73,14,13,1,1,0,1.0,20083.0,1,0.0,0.0,1.0,20.0,1,com
25,738.0,38,15,14,1,10,1,1.0,327.0,1,0.0,0.0,1.0,18.0,1,ae
14,755.0,73,21,13,1,15,1,1.0,6133.0,1,0.0,0.0,1.0,18.0,1,nl
82,3521.0,86,250,3,0,1,1,1.0,2092.0,1,0.0,0.0,1.0,22.0,1,com
2,201.0,1,1,1,1,1,0,1.0,208.0,1,0.0,0.0,1.0,21.0,1,org
21,608.0,96,28,16,0,6,1,1.0,735.0,1,0.0,0.0,2.0,30.0,1,de
109,1176.0,227,100,11,0,6,1,1.0,431.0,0,0.0,0.0,1.0,21.0,1,com
23,2362.0,58,23,12,1,2,0,1.0,16658.0,1,0.0,0.0,1.0,30.0,1,coop
76,588.0,75,40,33,1,13,1,1.0,9381.0,1,0.0,0.0,1.0,33.0,1,com
124,1292.0,121,52,43,1,8,1,1.0,9381.0,1,0.0,0.0,1.0,26.0,1,com
47,1235.0,66,17,21,1,5,1,1.0,649.0,0,0.0,0.0,1.0,31.0,1,com
18,376.0,100,6,2,0,1,0,1.0,167.0,0,0.0,0.0,2.0,23.0,1,edu
447,2802.0,455,31,7,1,1,1,1.0,2964.0,1,0.0,0.0,1.0,20.0,1,com
15,3259.0,397,54,12,1,8,1,1.0,727.0,1,0.0,0.0,2.0,21.0,1,sg
79,610.0,69,13,35,1,19,1,1.0,8047.0,0,0.0,0.0,1.0,33.0,1,com
73,711.0,73,24,10,0,3,1,1.0,9949.0,0,0.0,0.0,1.0,21.0,1,com
16,565.0,76,8,4,0,3,1,1.0,1336.0,0,0.0,0.0,1.0,22.0,1,com
27,176.0,26,6,7,1,3,1,1.0,1711.0,0,0.0,0.0,2.0,31.0,1,mx
76,1501.0,72,30,40,1,24,1,1.0,19088.0,1,0.0,0.0,1.0,26.0,1,com
142,4709.0,52,31,95,1,76,1,1.0,51449.0,1,0.0,0.0,1.0,29.0,1,com
111,1334.0,103,36,22,1,2,1,1.0,766.0,1,0.0,0.0,1.0,25.0,1,com
22,756.0,62,1,4,1,3,0,1.0,3797.0,0,0.0,0.0,1.0,23.0,1,no
9,242.0,18,4,17,1,8,1,1.0,1217.0,1,0.0,0.0,2.0,24.0,1,hr
279,2272.0,262,63,25,1,14,1,1.0,9381.0,1,0.0,0.0,1.0,33.0,1,net
25,1413.0,11,8,2,1,0,1,1.0,895.0,1,0.0,0.0,1.0,22.0,1,org
10,338.0,3,2,1,0,4,1,1.0,572.0,0,0.0,0.0,2.0,24.0,1,edu
25,350.0,50,16,9,1,1,0,1.0,2753.0,1,0.0,0.0,1.0,27.0,1,com
348,2223.0,419,49,18,1,9,1,1.0,32259.0,1,0.0,0.0,1.0,32.0,1,com
228,2593.0,187,44,33,1,27,1,1.0,8124.0,0,0.0,0.0,1.0,19.0,1,com
108,636.0,94,11,19,1,14,1,1.0,1835.0,1,0.0,0.0,1.0,18.0,1,org
5,289.0,0,1,3,0,3,0,1.0,292.0,0,0.0,0.0,1.0,28.0,1,org
228,1306.0,250,77,25,1,16,1,1.0,9728.0,0,0.0,0.0,1.0,21.0,1,org
359,18512.0,353,85,12,1,18,1,1.0,21707.0,1,0.0,0.0,1.0,27.0,1,com
80,1479.0,114,79,34,1,14,1,1.0,554.0,1,0.0,0.0,1.0,30.0,1,com
176,1849.0,150,76,28,1,24,1,1.0,9381.0,1,0.0,0.0,1.0,17.0,1,no
84,1186.0,71,23,22,1,16,1,1.0,9381.0,0,0.0,0.0,1.0,26.0,1,com
13,1043.0,46,24,20,1,3,1,1.0,2680.0,1,0.0,0.0,1.0,31.0,1,com
13,812.0,0,29,10,1,5,1,1.0,482.0,1,0.0,0.0,1.0,33.0,1,com
79,600.0,69,11,40,1,11,1,1.0,9381.0,0,0.0,0.0,1.0,19.0,1,org
336,3913.0,323,60,46,1,34,1,1.0,3137.0,1,0.0,0.0,2.0,25.0,1,uk
15,2883.0,139,41,8,1,2,0,1.0,291.0,1,0.0,0.0,1.0,26.0,1,com
21,413.0,4,32,15,1,3,0,1.0,682.0,0,0.0,0.0,1.0,27.0,1,org
99,556.0,99,23,5,0,5,1,1.0,8047.0,1,0.0,0.0,1.0,37.0,1,com
4,460.0,0,1,0,0,1,1,1.0,1166.0,1,0.0,0.0,1.0,25.0,1,com
12,2169.0,33,14,17,1,13,0,1.0,411.0,1,0.0,0.0,2.0,30.0,1,no
119,1661.0,105,148,12,1,15,1,1.0,1545.0,1,0.0,0.0,1.0,20.0,1,com
114,1626.0,108,31,34,1,30,1,1.0,26353.0,0,0.0,0.0,2.0,34.0,1,uk
73,829.0,11,32,2,0,0,1,1.0,11161.0,1,0.0,0.0,1.0,20.0,1,org
27,443.0,12,25,6,1,4,1,1.0,3545.0,1,0.0,0.0,3.0,37.0,1,de
26,1167.0,80,26,7,1,5,0,1.0,3065.0,1,0.0,0.0,1.0,27.0,1,gov
40,992.0,13,25,20,0,7,1,1.0,1200.0,1,0.0,0.0,3.0,25.0,1,cn
117,2915.0,100,28,55,1,45,1,1.0,9354.0,1,0.0,0.0,1.0,35.0,1,com
68,743.0,66,24,21,0,17,0,1.0,9381.0,0,0.0,0.0,1.0,20.0,1,org
7,1534.0,15,22,15,1,2,1,1.0,13102.0,1,0.0,0.0,1.0,26.0,1,com
18,194.0,19,6,6,1,2,1,1.0,705.0,0,0.0,0.0,1.0,28.0,1,ca
20,2748.0,19,22,17,0,9,1,1.0,34789.0,1,0.0,0.0,1.0,21.0,1,com
11,1104.0,65,1,4,1,2,1,1.0,2308.0,1,0.0,0.0,1.0,20.0,1,gov
235,3688.0,195,42,9,1,3,1,1.0,4085.0,0,0.042,1.0,1.0,24.0,1,net
15,2988.0,184,66,20,1,27,1,1.0,1564.0,1,0.0,0.0,2.0,28.0,1,org
329,2569.0,358,135,26,1,30,1,1.0,56694.0,1,0.037,1.0,1.0,27.0,1,com
76,313.0,80,27,19,1,5,1,1.0,2153.0,1,0.0,0.0,2.0,23.0,1,edu
257,1633.0,229,48,24,1,12,1,1.0,21367.0,0,0.0,0.0,1.0,28.0,1,com
72,915.0,58,5,21,1,2,1,1.0,949.0,1,0.0,0.0,1.0,32.0,1,com
35,1026.0,121,93,16,1,7,1,1.0,2916.0,1,0.0,0.0,3.0,34.0,1,jp
118,1409.0,108,58,55,1,24,1,1.0,9381.0,1,0.0,0.0,1.0,22.0,1,pk
30,2338.0,233,37,12,1,3,1,1.0,826.0,1,0.0,0.0,1.0,28.0,1,com
15,1696.0,54,1,37,1,26,1,1.0,25488.0,1,0.0,0.0,1.0,21.0,1,com
12,1631.0,104,32,18,1,2,1,1.0,2680.0,1,0.0,0.0,1.0,29.0,1,com
7,1179.0,46,14,16,1,4,1,1.0,13644.0,1,0.0,0.0,2.0,27.0,1,com
13,978.0,4,13,9,0,4,0,1.0,253.0,0,0.0,0.0,3.0,26.0,1,cn
85,2069.0,91,20,22,0,19,1,1.0,19949.0,1,0.0,0.0,2.0,28.0,1,uk
61,6440.0,280,50,44,1,4,0,1.0,3328.0,1,0.0,0.0,1.0,27.0,1,com
41,286.0,20,1,1,1,2,1,1.0,642.0,1,0.053,1.0,1.0,19.0,1,cn
120,748.0,1,11,6,1,3,1,1.0,8047.0,1,0.0,0.0,2.0,29.0,1,de
195,2819.0,63,69,18,0,32,1,1.0,578.0,0,0.0,0.0,2.0,22.0,1,cn
10,1519.0,58,17,14,1,4,0,1.0,14379.0,1,0.0,0.0,1.0,33.0,1,org
21,451.0,18,6,14,1,7,0,1.0,1158.0,1,0.0,0.0,1.0,26.0,1,net
138,1859.0,50,45,18,1,8,1,1.0,1113.0,1,0.0,0.0,1.0,27.0,1,com
39,1024.0,24,26,27,1,6,1,1.0,271.0,1,0.0,0.0,2.0,27.0,1,gov
7,267.0,25,12,6,0,6,1,1.0,202.0,1,0.0,0.0,3.0,29.0,1,jp
72,788.0,65,23,11,1,2,1,1.0,8145.0,1,0.0,0.0,1.0,26.0,1,com
24,381.0,68,8,4,1,2,1,1.0,575.0,1,0.0,0.0,2.0,28.0,1,edu
137,2870.0,177,279,16,1,1,1,1.0,702.0,1,0.0,0.0,1.0,27.0,1,com
66,782.0,64,42,4,1,9,0,1.0,1944.0,1,0.0,0.0,1.0,24.0,1,com
8,928.0,49,3,10,1,3,0,1.0,15152.0,1,0.0,0.0,1.0,38.0,1,com
13,1968.0,53,62,20,1,2,1,1.0,2683.0,1,0.0,0.0,1.0,29.0,1,com
75,1463.0,86,25,61,1,55,0,1.0,8047.0,0,0.0,0.0,2.0,23.0,1,my
23,3394.0,195,81,28,1,91,1,1.0,26062.0,1,0.0,0.0,1.0,32.0,1,com
15,495.0,3,11,19,1,12,1,1.0,4197.0,0,0.0,0.0,3.0,20.0,1,org
3,201.0,0,10,6,0,2,0,1.0,551.0,1,0.0,0.0,1.0,22.0,1,com
19,465.0,5,14,13,1,4,0,1.0,717.0,0,0.0,0.0,1.0,32.0,1,gov
23,1479.0,1,82,15,1,7,1,1.0,9504.0,1,0.048,1.0,1.0,21.0,1,com
149,900.0,23,57,9,1,2,1,1.0,4382.0,1,0.0,0.0,2.0,36.0,1,ru
35,1891.0,29,64,25,1,14,1,1.0,11747.0,0,0.0,0.0,1.0,27.0,1,com
139,792.0,129,29,14,1,11,1,1.0,9381.0,1,0.0,0.0,1.0,26.0,1,ca
76,1041.0,74,22,18,1,8,1,1.0,8047.0,1,0.0,0.0,1.0,20.0,1,nl
28,525.0,21,27,8,1,5,0,1.0,2167.0,1,0.0,0.0,1.0,29.0,1,com
72,708.0,66,18,22,1,21,1,1.0,9381.0,0,0.0,0.0,1.0,26.0,1,com
25,1157.0,115,11,27,1,12,1,1.0,559.0,1,0.0,0.0,1.0,20.0,1,ca
7,217.0,16,5,1,0,1,1,1.0,507.0,1,0.0,0.0,1.0,25.0,1,org
103,1787.0,62,24,10,1,7,0,1.0,8201.0,0,0.0,0.0,1.0,19.0,1,mil
178,1886.0,187,42,20,1,28,1,1.0,4595.0,1,0.0,0.0,1.0,25.0,1,ro
18,1368.0,37,45,14,1,5,0,1.0,617.0,0,0.0,0.0,1.0,31.0,1,com
135,744.0,134,24,29,1,92,1,1.0,18850.0,0,0.0,0.0,1.0,25.0,1,org
31,2434.0,48,28,18,1,2,1,1.0,17037.0,1,0.0,0.0,1.0,29.0,1,com
6,839.0,6,5,9,0,1,1,1.0,1783.0,1,0.0,0.0,1.0,32.0,1,com
75,1222.0,84,28,6,0,1,1,1.0,1811.0,1,0.0,0.0,3.0,43.0,1,com
145,823.0,152,16,39,1,17,1,1.0,1820.0,1,0.0,0.0,1.0,18.0,1,org
1245,5697.0,1237,285,41,1,13,1,1.0,3604.0,0,0.0,0.0,2.0,21.0,1,uk
5,241.0,65,16,2,1,1,1,1.0,468.0,1,0.0,0.0,2.0,30.0,1,uk
18,6004.0,18,758,12,1,2,1,1.0,18865.0,1,0.0,0.0,2.0,24.0,1,br
64,432.0,58,13,15,1,13,1,1.0,9381.0,0,0.0,0.0,1.0,19.0,1,com
74,636.0,47,17,20,1,9,1,1.0,1916.0,1,0.0,0.0,2.0,31.0,1,com
59,1821.0,39,84,12,0,8,1,1.0,3695.0,0,0.0,0.0,1.0,27.0,1,com
41,329.0,15,15,3,1,0,1,1.0,818.0,1,0.0,0.0,2.0,32.0,1,uk
270,8702.0,266,48,34,1,9,1,1.0,12571.0,1,0.0,0.0,1.0,28.0,1,com
84,661.0,80,23,8,0,6,1,1.0,9641.0,0,0.0,0.0,1.0,26.0,1,com
106,7640.0,484,174,18,1,2,1,1.0,21249.0,1,0.0,0.0,1.0,22.0,1,fr
61,319.0,40,18,38,1,0,1,1.0,1327.0,1,0.0,0.0,1.0,27.0,1,net
183,1179.0,178,37,23,1,19,1,1.0,5492.0,0,0.0,0.0,1.0,26.0,1,com
126,396.0,20,4,0,1,0,1,1.0,8958.0,1,0.0,0.0,1.0,26.0,1,com
99,1046.0,94,35,23,1,6,0,1.0,4631.0,0,0.0,0.0,2.0,26.0,1,com
8,317.0,34,9,7,1,3,1,1.0,1124.0,1,0.0,0.0,1.0,34.0,1,com
604,4600.0,596,100,2,1,7,1,1.0,2344.0,1,0.0,0.0,3.0,31.0,1,uk
84,1013.0,106,24,24,1,18,1,1.0,1820.0,1,0.0,0.0,1.0,30.0,1,org
41,4796.0,630,29,23,1,4,1,1.0,1487.0,1,0.0,0.0,1.0,18.0,1,org
38,1888.0,355,53,16,1,2,1,1.0,376.0,1,0.0,0.0,2.0,22.0,1,jp
33,809.0,62,38,11,1,7,1,1.0,569.0,0,0.0,0.0,2.0,31.0,1,gr
19,1144.0,360,14,17,1,4,1,1.0,4635.0,1,0.0,0.0,3.0,30.0,1,jp
378,1662.0,325,60,27,1,19,1,1.0,9381.0,1,0.0,0.0,1.0,18.0,1,de
54,1352.0,170,49,8,1,8,1,1.0,11440.0,1,0.0,0.0,1.0,26.0,1,com
104,1522.0,102,65,21,1,14,1,1.0,2119.0,1,0.0,0.0,1.0,24.0,1,com
7,555.0,49,16,6,0,7,1,1.0,8839.0,1,0.0,0.0,1.0,27.0,1,com
108,1407.0,97,22,32,1,1,1,1.0,20055.0,1,0.0,0.0,1.0,33.0,1,com
82,743.0,78,31,24,0,13,1,1.0,13629.0,0,0.0,0.0,2.0,28.0,1,org
53,498.0,40,10,18,1,17,1,1.0,11136.0,1,0.0,0.0,1.0,24.0,1,com
55,657.0,76,23,22,1,16,1,1.0,9381.0,0,0.0,0.0,1.0,27.0,1,com
78,5491.0,306,65,53,1,5,1,1.0,26572.0,1,0.0,0.0,1.0,29.0,1,com
15,1289.0,60,35,3,1,2,1,1.0,297.0,1,0.0,0.0,1.0,18.0,1,ma
51,439.0,45,9,20,1,17,0,1.0,9381.0,1,0.0,0.0,2.0,26.0,1,com
13,355.0,9,4,2,0,1,1,1.0,3529.0,1,0.0,0.0,1.0,32.0,1,pl
253,9813.0,0,296,5,1,6,0,1.0,1477.0,1,0.0,0.0,1.0,23.0,1,com
68,1021.0,68,21,7,1,1,1,1.0,9381.0,1,0.0,0.0,1.0,36.0,1,com
86,988.0,73,21,15,1,15,1,1.0,808.0,1,0.0,0.0,1.0,23.0,1,com
55,444.0,153,1,11,0,8,0,1.0,8047.0,1,0.0,0.0,1.0,26.0,1,org
133,1991.0,114,34,43,1,39,1,1.0,21224.0,1,0.0,0.0,1.0,27.0,1,com
6,980.0,76,13,6,0,1,1,1.0,333.0,0,0.0,0.0,1.0,26.0,1,com
38,1785.0,141,92,13,1,3,1,1.0,3907.0,1,0.0,0.0,1.0,28.0,1,com
4,368.0,4,42,15,0,3,1,1.0,904.0,0,0.0,0.0,1.0,31.0,1,com
0,531.0,25,43,8,1,10,0,1.0,460.0,1,0.0,0.0,1.0,22.0,1,com
28,2615.0,67,23,23,1,36,0,1.0,18341.0,0,0.0,0.0,2.0,27.0,1,de
20,933.0,79,32,42,1,11,1,1.0,7316.0,1,0.0,0.0,1.0,25.0,1,ru
34,765.0,60,51,7,1,4,1,1.0,1337.0,1,0.0,0.0,1.0,24.0,1,tv
34,396.0,142,32,2,1,3,1,1.0,2597.0,1,0.0,0.0,1.0,37.0,1,com
22,2186.0,56,20,8,1,3,1,1.0,1446.0,1,0.0,0.0,1.0,24.0,1,com
110,647.0,106,30,28,1,15,1,1.0,8047.0,1,0.0,0.0,1.0,33.0,1,com
70,2959.0,59,42,21,1,23,0,1.0,13262.0,1,0.0,0.0,1.0,21.0,1,com
56,206.0,1,2,8,0,3,1,1.0,1292.0,1,0.0,0.0,1.0,23.0,1,com
6,1230.0,343,16,19,1,12,1,1.0,357.0,1,0.0,0.0,2.0,31.0,1,de
120,1347.0,119,19,142,1,60,1,1.0,9381.0,0,0.0,0.0,1.0,31.0,1,com
59,312.0,56,8,6,0,3,1,1.0,8364.0,1,0.0,0.0,1.0,25.0,1,com
154,4003.0,114,39,50,1,42,1,1.0,19608.0,1,0.0,0.0,1.0,26.0,1,com
100,984.0,79,11,12,0,13,0,1.0,9825.0,0,0.0,0.0,1.0,21.0,1,net
8,1187.0,93,15,22,1,3,1,1.0,16625.0,0,0.0,0.0,1.0,23.0,1,com
50,3633.0,51,15,33,1,27,1,1.0,9381.0,0,0.0,0.0,1.0,24.0,1,com
47,25409.0,180,357,19,1,1,0,1.0,185113.0,1,0.0,0.0,2.0,35.0,1,com
264,1875.0,199,106,13,1,8,1,1.0,44572.0,1,0.0,0.0,1.0,21.0,1,fr
52,1239.0,83,45,14,1,4,0,1.0,329.0,1,0.0,0.0,2.0,38.0,1,uk
268,1059.0,13,29,15,1,7,1,1.0,2133.0,1,0.0,0.0,1.0,28.0,1,com
21,276.0,37,22,7,1,5,0,1.0,353.0,0,0.0,0.0,1.0,31.0,1,org
29,1107.0,7,22,10,1,9,1,1.0,5011.0,1,0.0,0.0,1.0,27.0,1,com
66,1349.0,54,39,3,1,3,0,1.0,4146.0,0,0.0,0.0,2.0,32.0,1,com
57,981.0,72,23,21,1,8,1,1.0,13917.0,1,0.0,0.0,1.0,20.0,1,org
75,427.0,72,14,15,1,15,1,1.0,9381.0,1,0.0,0.0,1.0,26.0,1,com
13,215.0,2,17,6,0,2,1,1.0,414.0,1,0.0,0.0,1.0,23.0,1,com
16,421.0,31,5,17,0,34,1,1.0,4452.0,0,0.0,0.0,1.0,29.0,1,org
99,890.0,84,6,30,1,25,0,1.0,9381.0,1,0.0,0.0,2.0,34.0,1,au
80,1584.0,217,60,11,1,5,1,1.0,1027.0,0,0.0,0.0,1.0,23.0,1,com
37,378.0,0,38,6,1,2,1,1.0,1250.0,1,0.0,0.0,1.0,35.0,1,com
18,1028.0,10,9,16,1,16,1,1.0,857.0,1,0.0,0.0,1.0,26.0,1,com
73,590.0,68,38,24,0,11,1,1.0,9381.0,1,0.0,0.0,2.0,26.0,1,org
103,1662.0,99,34,34,1,28,1,1.0,11553.0,1,0.0,0.0,1.0,30.0,1,com
141,3974.0,141,121,10,1,1,0,1.0,287.0,1,0.0,0.0,1.0,19.0,1,se
28,1134.0,23,20,14,1,4,0,1.0,14273.0,1,0.0,0.0,1.0,34.0,1,com
58,327.0,73,23,7,1,2,1,1.0,3969.0,1,0.0,0.0,2.0,26.0,1,ua
9,908.0,44,19,35,1,7,1,1.0,2108.0,1,0.0,0.0,2.0,23.0,1,org
17,716.0,1,19,14,1,13,1,1.0,205.0,1,0.0,0.0,1.0,25.0,1,com
8,1091.0,44,50,6,1,3,1,1.0,741.0,1,0.0,0.0,1.0,33.0,1,com
104,1011.0,86,41,65,1,20,1,1.0,13158.0,1,0.0,0.0,1.0,26.0,1,com
56,613.0,55,13,16,1,27,1,1.0,9381.0,1,0.0,0.0,1.0,31.0,1,org
5,2471.0,59,0,17,0,9,1,1.0,1085.0,1,0.0,0.0,3.0,26.0,1,us
83,631.0,67,45,16,0,16,1,1.0,9603.0,0,0.0,0.0,1.0,28.0,1,com
23,1229.0,92,72,4,1,1,1,1.0,2070.0,1,0.0,0.0,1.0,25.0,1,org
141,3559.0,107,23,45,1,53,1,1.0,26360.0,1,0.0,0.0,1.0,40.0,1,edu
121,969.0,109,34,17,1,8,1,1.0,3179.0,0,0.0,0.0,1.0,32.0,1,com
5,528.0,13,33,12,0,5,0,1.0,500.0,1,0.0,0.0,1.0,26.0,1,com
37,1408.0,17,153,27,1,9,0,1.0,775.0,1,0.0,0.0,1.0,25.0,1,net
48,5871.0,102,6,15,1,1,1,1.0,8940.0,1,0.0,0.0,1.0,25.0,1,dk
182,2395.0,178,25,47,1,27,1,1.0,9706.0,0,0.0,0.0,1.0,24.0,1,it
31,360.0,26,10,6,1,6,1,1.0,8047.0,0,0.0,0.0,1.0,19.0,1,eu
34,4533.0,298,67,43,1,12,1,1.0,24734.0,0,0.0,0.0,1.0,32.0,1,com
7,2889.0,150,74,17,1,1,1,1.0,14047.0,1,0.0,0.0,1.0,23.0,1,com
24,636.0,30,5,16,1,8,1,1.0,1750.0,1,0.0,0.0,1.0,28.0,1,exchange
65,9461.0,274,1092,21,1,3,1,1.0,51903.0,1,0.0,0.0,1.0,33.0,1,com
161,1422.0,150,33,18,1,8,1,1.0,1835.0,0,0.0,0.0,1.0,21.0,1,net
175,6194.0,212,31,8,1,1,1,1.0,1482.0,1,0.0,0.0,2.0,29.0,1,nz
86,1328.0,84,11,8,0,7,0,1.0,9381.0,1,0.0,0.0,1.0,28.0,1,com
174,1625.0,211,2,17,1,8,1,1.0,546.0,1,0.0,0.0,1.0,27.0,1,com
7,252.0,32,9,6,1,2,1,1.0,484.0,0,0.0,0.0,1.0,24.0,1,com
8,522.0,12,11,7,0,2,1,1.0,2473.0,0,0.0,0.0,1.0,25.0,1,com
48,448.0,38,24,17,1,1,1,1.0,10081.0,0,0.0,0.0,5.0,45.0,1,com
217,3865.0,145,49,67,1,29,1,1.0,67238.0,1,0.0,0.0,2.0,33.0,1,au
2,610.0,18,4,10,1,6,0,1.0,1350.0,1,0.0,0.0,1.0,36.0,1,com
46,371.0,12,3,2,1,0,1,1.0,1049.0,0,0.0,0.0,1.0,29.0,1,at
11,468.0,3,20,7,1,2,1,1.0,362.0,1,0.0,0.0,1.0,25.0,1,com
243,3115.0,206,52,21,1,33,1,1.0,32033.0,0,0.0,0.0,1.0,22.0,1,net
102,910.0,96,38,10,1,11,1,1.0,937.0,1,0.0,0.0,1.0,26.0,1,com
93,1257.0,84,22,107,1,15,1,1.0,9498.0,1,0.0,0.0,1.0,27.0,1,com
419,2759.0,403,46,48,1,22,1,1.0,28577.0,0,0.0,0.0,1.0,30.0,1,com
475,3954.0,565,157,22,1,4,0,1.0,1088.0,1,0.0,0.0,1.0,22.0,1,it
179,3017.0,171,133,11,1,4,1,1.0,4589.0,1,0.0,0.0,2.0,27.0,1,br
13,660.0,59,10,14,1,4,1,1.0,14753.0,1,0.106944444,4.0,1.0,26.0,1,com
48,322.0,42,11,15,1,7,1,1.0,9381.0,1,0.0,0.0,1.0,27.0,1,com
135,1338.0,118,36,28,1,16,1,1.0,5979.0,0,0.0,0.0,1.0,29.0,1,com
65,272.0,64,26,9,1,3,1,1.0,2207.0,1,0.0,0.0,1.0,30.0,1,com
310,2279.0,291,75,26,1,10,1,1.0,8121.0,1,0.0,0.0,1.0,31.0,1,pt
260,1899.0,237,18,16,1,2,1,1.0,15740.0,1,0.0,0.0,1.0,18.0,1,org
132,2326.0,158,42,19,1,14,1,1.0,17233.0,1,0.0,0.0,1.0,21.0,1,org
3,283.0,5,13,6,0,5,1,1.0,289.0,1,0.0,0.0,2.0,28.0,1,de
15,1333.0,5,45,18,1,13,1,1.0,538.0,1,0.0,0.0,1.0,28.0,1,com
65,670.0,73,31,31,1,13,1,1.0,6506.0,0,0.0,0.0,1.0,23.0,1,com
11,1325.0,64,23,16,1,2,0,1.0,644.0,1,0.0,0.0,2.0,35.0,1,uk
19,973.0,17,21,10,1,11,1,1.0,2096.0,1,0.0,0.0,1.0,29.0,1,com
